date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2021-12-01,0.3091,2.068,0.999,1.173,,34,229.87
2021-12-02,0.3056,1.942,1.02,0.734,,32,225.51
2021-12-03,0.2118,2.838,1.006,0.768,,31,206.27
2021-12-04,0.2118,2.086,0.806,0.996,,25,187.54
2021-12-05,0.2118,1.524,0.842,1.273,,18,182.54
2021-12-06,0.2118,1.82,0.811,1.941,,16,179.8
2021-12-07,0.2118,2.195,0.835,1.372,,25,174.12
2021-12-08,0.21,2.117,0.812,0.658,,28,178.8
2021-12-09,0.21,2.377,0.743,1.332,,29,164.04
2021-12-10,0.21,2.444,0.84,0.603,,24,159.38
2021-12-11,0.21,2.219,0.852,0.623,,16,168.23
2021-12-12,0.21,2.192,0.84,2.866,,27,169.54
2021-12-13,0.21,2.333,0.854,0.683,,28,147.93
2021-12-14,0.21,2.068,0.842,1.49,,21,151.52
2021-12-15,0.21,1.788,0.884,1.901,,28,159.51
2021-12-16,0.21,2.306,0.942,1.188,,29,152.29
2021-12-17,0.21,2.469,0.866,1.264,,23,149.81
2021-12-18,0.21,1.8,0.919,0.918,,24,157.51
2021-12-19,0.21,2.124,0.92,1.501,,29,157.6
2021-12-20,0.21,2.344,0.927,0.259,,25,156.6
2021-12-21,0.21,1.99,0.918,0.255,,27,162.16
2021-12-22,0.21,2.583,0.991,0.441,,45,165.37
2021-12-23,0.21,2.954,1.014,0.967,,34,167.65
2021-12-24,0.21,2.781,1.048,1.508,,41,165.0
2021-12-25,0.21,2.699,1.069,0.263,,39,169.37
2021-12-26,0.21,2.898,1.071,0.375,,37,167.59
2021-12-27,0.21,2.759,1.07,0.333,,40,169.62
2021-12-28,0.21,3.598,0.983,0.414,,41,149.51
2021-12-29,0.21,3.464,1.031,0.795,,27,146.64
2021-12-30,0.21,3.453,0.993,1.088,,22,153.46
2021-12-31,0.2054,,,,,28,146.39
2022-01-01,0.2054,,,,,21,150.25
2022-01-02,0.2054,,,,,29,152.92
2022-01-03,0.2054,,,,,29,150.55
2022-01-04,0.2054,,,,,23,147.26
2022-01-05,0.2054,,,,,24,136.73
2022-01-06,0.2054,,,,,15,137.17
2022-01-07,0.21,,,,,18,139.56
2022-01-08,0.1708,,,,,10,143.46
2022-01-09,0.1708,,,,,23,144.0
2022-01-10,0.1445,,,,,23,141.3
2022-01-11,0.1445,,,,,21,141.3
2022-01-12,0.1445,,,,,22,144.44
2022-01-13,0.1445,,,,,21,143.18
2022-01-14,0.1445,,,,,21,142.41
2022-01-15,0.1837,,,,,23,144.32
2022-01-16,0.1837,,,,,21,141.22
2022-01-17,0.21,,,,,22,138.74
2022-01-18,0.21,,,,,24,131.65
2022-01-19,0.2057,3.095,,,,24,125.81
2022-01-20,0.2057,3.107,,,,24,118.67
2022-01-21,0.1959,2.695,,,,19,102.15
2022-01-22,0.1924,2.069,,,,13,94.43
2022-01-23,0.1897,1.462,,,,11,97.37
2022-01-24,0.1895,1.812,,,,13,94.27
2022-01-25,0.1895,2.082,,,,12,90.34
2022-01-26,0.1917,2.16,,,,23,89.72
2022-01-27,0.169,2.06,,,,20,88.51
2022-01-28,0.1655,2.035,,,,24,91.12
2022-01-29,0.1554,1.784,,,,24,96.27
2022-01-30,0.1533,2.127,1.029,1.829,,29,92.93
2022-01-31,0.1406,1.949,,,,20,94.38
2022-02-01,0.134,1.891,,,,26,98.79
2022-02-02,0.1233,2.247,,,,28,98.24
2022-02-03,0.1307,2.305,,,,20,100.75
2022-02-04,0.1306,2.305,,,,20,107.04
2022-02-05,0.135,1.886,,,,33,115.95
2022-02-06,0.1331,1.571,,,,37,124.31
2022-02-07,0.1365,1.49,,,,45,128.69
2022-02-08,0.143,1.577,,,,48,132.99
2022-02-09,0.1558,2.055,,,,54,125.8
2022-02-10,0.1531,1.9,,,,50,124.6
2022-02-11,0.1664,1.579,,,,50,116.39
2022-02-12,0.1754,1.619,,,,44,117.83
2022-02-13,0.1823,1.593,,,,44,116.86
2022-02-14,0.1872,1.19,,,,46,120.4
2022-02-15,0.1733,1.688,,,,46,125.86
2022-02-16,0.1717,1.652,,,,51,125.38
2022-02-17,0.1899,2.128,,,,52,113.42
2022-02-18,0.1865,2.16,,,,30,108.93
2022-02-19,0.1709,1.457,,,,25,112.04
2022-02-20,0.1522,1.877,,,,27,107.79
2022-02-21,0.095,1.757,,,,25,100.27
2022-02-22,0.0745,1.564,,,,20,102.83
2022-02-23,0.023,1.776,,,,25,97.37
2022-02-24,-0.0132,1.35,,,,23,102.46
2022-02-25,-0.023,1.614,,,,27,106.84
2022-02-26,-0.0239,1.58,,,,26,107.75
2022-02-27,-0.0504,1.735,,,,26,102.46
2022-02-28,-0.0267,1.191,,,31.1,20,118.51
2022-03-01,-0.0058,1.348,,,30.0,51,118.92
2022-03-02,0.0408,1.052,,,81.1,52,125.72
2022-03-03,0.0032,1.234,,,63.3,39,128.98
2022-03-04,0.0089,1.524,,,46.7,33,116.87
2022-03-05,0.0182,1.499,,,33.3,22,116.3
2022-03-06,0.0633,1.765,,,26.7,22,107.26
2022-03-07,0.0698,1.119,,,1.1,23,109.37
2022-03-08,0.0599,0.659,,,100.0,21,138.38
2022-03-09,0.0561,0.905,,,98.9,22,141.42
2022-03-10,0.1299,0.964,,,100.0,28,157.12
2022-03-11,0.054,0.71,,,100.0,22,153.35
2022-03-12,0.0217,0.85,,,97.8,22,151.6
2022-03-13,-0.0505,0.662,,,100.0,21,154.7
